soham|1|1
s|1|1
SOHAM|3|3
SOHAM|2|5
SOHAM|3|5
soham|3|5
SOHAM K|5|5
VIRAJ|0|4
VIRAJ|0|4
VIRAJ|4|4
VIRAJ|1|1
VIRAJ|4|5
SOHAM|4|5|2026-04-10 21:12:26
SOHAM|1|1|2026-04-10 21:14:26
Soham|2|2|2026-04-10 21:24:11
ss|6|6|2026-04-11 11:16:28
ss|3|3|2026-04-11 11:20:15
ss|2|7|2026-04-11 11:20:38
USER1|3|3|2026-04-11 19:40:52
USER1|5|7|2026-04-11 19:45:25
USER1|7|7|2026-04-11 19:46:56
USER1|0|4|2026-04-11 19:47:19
USER1|1|1|2026-04-11 19:52:46
USER1|8|8|2026-04-11 19:53:11
USER1|0|1|2026-04-11 19:53:27
USER1|3|3|2026-04-11 19:57:24
